epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9513,1.03266,2.84178,1.16332,0.57846,0.37489,0.38236,0.28444,0.96364,1.56459,1.10838,0.067,3.3033e-05,3.3033e-05
2,87.4195,0.85141,1.22888,1.05288,0.62458,0.48643,0.51912,0.41144,0.74381,1.05954,0.97691,0.0336998,6.61452e-05,6.61452e-05
3,130.568,0.77605,0.98676,1.00987,0.78751,0.54442,0.61992,0.48924,0.67072,0.80619,0.95732,0.000399335,9.90351e-05,9.90351e-05
4,173.781,0.6981,0.82195,0.96711,0.80037,0.58985,0.66019,0.53071,0.6285,0.73526,0.92171,9.90001e-05,9.90001e-05,9.90001e-05
5,219.474,0.71645,0.78423,0.96532,0.84697,0.59574,0.68398,0.55469,0.61539,0.65982,0.91904,9.86668e-05,9.86668e-05,9.86668e-05
6,262.678,0.66461,0.71097,0.94498,0.87971,0.57382,0.68889,0.54306,0.60724,0.66339,0.90176,9.83335e-05,9.83335e-05,9.83335e-05
7,305.705,0.65452,0.67681,0.93376,0.8626,0.61457,0.70338,0.56962,0.59141,0.61219,0.89301,9.80002e-05,9.80002e-05,9.80002e-05
8,348.907,0.65019,0.65608,0.93704,0.87284,0.60505,0.71125,0.57752,0.56927,0.60649,0.89088,9.76669e-05,9.76669e-05,9.76669e-05
9,391.794,0.62274,0.60358,0.9246,0.92302,0.60125,0.71171,0.57386,0.59147,0.59964,0.8961,9.73336e-05,9.73336e-05,9.73336e-05
10,434.819,0.61585,0.59459,0.91615,0.84874,0.62722,0.71288,0.57777,0.55439,0.59134,0.88375,9.70003e-05,9.70003e-05,9.70003e-05
11,477.862,0.61442,0.60156,0.9188,0.89038,0.6183,0.71877,0.58938,0.56706,0.57332,0.88901,9.6667e-05,9.6667e-05,9.6667e-05
12,520.766,0.59344,0.56508,0.90556,0.86335,0.63475,0.72258,0.59447,0.55744,0.56292,0.87716,9.63337e-05,9.63337e-05,9.63337e-05
13,564.01,0.59586,0.56351,0.90483,0.90647,0.63837,0.73447,0.5965,0.5523,0.54305,0.87706,9.60004e-05,9.60004e-05,9.60004e-05
14,607.131,0.57594,0.53524,0.90129,0.84464,0.65441,0.73751,0.60402,0.53598,0.52746,0.87015,9.56671e-05,9.56671e-05,9.56671e-05
15,650.969,0.58826,0.5372,0.89953,0.86713,0.67644,0.74251,0.60556,0.54759,0.54568,0.873,9.53338e-05,9.53338e-05,9.53338e-05
16,695.552,0.58546,0.5282,0.90405,0.92404,0.63656,0.75022,0.61055,0.53965,0.54104,0.86728,9.50005e-05,9.50005e-05,9.50005e-05
17,739.037,0.57688,0.5183,0.89326,0.87126,0.63944,0.73478,0.6035,0.52871,0.51806,0.86363,9.46672e-05,9.46672e-05,9.46672e-05
18,783.107,0.56729,0.51041,0.89377,0.89352,0.66336,0.75263,0.61252,0.53283,0.50524,0.87076,9.43339e-05,9.43339e-05,9.43339e-05
19,826.652,0.564,0.50327,0.88914,0.91305,0.66985,0.7558,0.61732,0.5441,0.50401,0.87547,9.40006e-05,9.40006e-05,9.40006e-05
20,871.559,0.55618,0.48581,0.88517,0.89357,0.68839,0.76286,0.62479,0.52672,0.5001,0.8569,9.36673e-05,9.36673e-05,9.36673e-05
21,915.941,0.55629,0.48518,0.89117,0.91633,0.65891,0.75394,0.61953,0.52539,0.51097,0.86577,9.3334e-05,9.3334e-05,9.3334e-05
22,959.971,0.54917,0.48221,0.88558,0.9075,0.6579,0.76023,0.61781,0.53476,0.51433,0.87046,9.30007e-05,9.30007e-05,9.30007e-05
23,1003.61,0.54496,0.46783,0.88445,0.89369,0.67539,0.7586,0.61913,0.53032,0.49277,0.87248,9.26674e-05,9.26674e-05,9.26674e-05
24,1046.77,0.5435,0.47017,0.87982,0.90791,0.66166,0.76372,0.62806,0.5182,0.47175,0.86338,9.23341e-05,9.23341e-05,9.23341e-05
25,1090.6,0.53451,0.45963,0.88231,0.89522,0.68169,0.76304,0.62746,0.51475,0.48854,0.8638,9.20008e-05,9.20008e-05,9.20008e-05
26,1133.94,0.54269,0.4576,0.88317,0.89773,0.68152,0.76241,0.6323,0.51111,0.49048,0.86761,9.16675e-05,9.16675e-05,9.16675e-05
27,1178.57,0.52692,0.44232,0.87333,0.92552,0.67078,0.76647,0.62937,0.51181,0.46893,0.85763,9.13342e-05,9.13342e-05,9.13342e-05
28,1225.32,0.5249,0.44987,0.87558,0.91903,0.66072,0.75985,0.62783,0.52394,0.48242,0.86405,9.10009e-05,9.10009e-05,9.10009e-05
29,1270.15,0.52455,0.43648,0.87378,0.89553,0.66308,0.75912,0.62751,0.52026,0.47548,0.86851,9.06676e-05,9.06676e-05,9.06676e-05
30,1317.5,0.52588,0.43608,0.87502,0.86101,0.69059,0.76326,0.62409,0.52751,0.48496,0.87157,9.03343e-05,9.03343e-05,9.03343e-05
31,1363.03,0.53613,0.44618,0.87335,0.90461,0.68538,0.77337,0.63722,0.52253,0.47348,0.87156,9.0001e-05,9.0001e-05,9.0001e-05
32,1412.31,0.50946,0.41663,0.87151,0.87174,0.68353,0.76362,0.63044,0.51537,0.47025,0.86638,8.96677e-05,8.96677e-05,8.96677e-05
33,1458.09,0.51508,0.42403,0.87388,0.89498,0.68586,0.76497,0.63274,0.51712,0.47575,0.8624,8.93344e-05,8.93344e-05,8.93344e-05
34,1506.41,0.50742,0.42751,0.86398,0.88068,0.69867,0.76873,0.6323,0.51839,0.46911,0.8596,8.90011e-05,8.90011e-05,8.90011e-05
35,1552.06,0.51176,0.42242,0.86514,0.89674,0.69156,0.77333,0.64062,0.51433,0.4694,0.85938,8.86678e-05,8.86678e-05,8.86678e-05
36,1598.03,0.51071,0.41502,0.86789,0.87089,0.69216,0.76825,0.63144,0.52691,0.46544,0.86576,8.83345e-05,8.83345e-05,8.83345e-05
37,1643.01,0.5043,0.41209,0.86913,0.93613,0.68691,0.78016,0.64163,0.52352,0.46885,0.86445,8.80012e-05,8.80012e-05,8.80012e-05
38,1688.76,0.49704,0.40795,0.87138,0.88842,0.70353,0.77518,0.63101,0.53136,0.4823,0.86898,8.76679e-05,8.76679e-05,8.76679e-05
39,1748.93,0.50671,0.40806,0.8603,0.92999,0.67645,0.77329,0.63573,0.52463,0.46395,0.86714,8.73346e-05,8.73346e-05,8.73346e-05
40,1797.13,0.49236,0.40834,0.8608,0.88356,0.69641,0.77204,0.63547,0.51686,0.48107,0.85944,8.70013e-05,8.70013e-05,8.70013e-05
41,1842.13,0.50166,0.40808,0.86811,0.92657,0.69052,0.77562,0.63903,0.49628,0.45405,0.84868,8.6668e-05,8.6668e-05,8.6668e-05
42,1886.69,0.47851,0.39169,0.85831,0.89741,0.69478,0.77281,0.64623,0.49787,0.46027,0.85785,8.63347e-05,8.63347e-05,8.63347e-05
43,1931.63,0.48206,0.38443,0.86107,0.9212,0.69142,0.76904,0.63534,0.5113,0.47574,0.86173,8.60014e-05,8.60014e-05,8.60014e-05
44,1976.46,0.48787,0.3953,0.85984,0.92133,0.68841,0.7755,0.63904,0.51025,0.46176,0.86167,8.56681e-05,8.56681e-05,8.56681e-05
45,2021.28,0.48862,0.39784,0.8652,0.90696,0.69281,0.77994,0.64523,0.50019,0.46096,0.85064,8.53348e-05,8.53348e-05,8.53348e-05
46,2066.2,0.49165,0.39456,0.86017,0.90876,0.68528,0.77452,0.64092,0.51717,0.45626,0.86494,8.50015e-05,8.50015e-05,8.50015e-05
47,2111.56,0.49942,0.39819,0.8655,0.90477,0.69634,0.77929,0.64073,0.52275,0.46249,0.8691,8.46682e-05,8.46682e-05,8.46682e-05
48,2156.55,0.48807,0.39154,0.85906,0.92168,0.67908,0.77834,0.64054,0.51361,0.4605,0.86729,8.43349e-05,8.43349e-05,8.43349e-05
49,2201.82,0.48181,0.38145,0.86032,0.86521,0.69674,0.76767,0.63414,0.50674,0.45281,0.85885,8.40016e-05,8.40016e-05,8.40016e-05
50,2246.98,0.47966,0.38588,0.85789,0.92741,0.68764,0.7788,0.63952,0.5054,0.44888,0.86255,8.36683e-05,8.36683e-05,8.36683e-05
51,2292.17,0.48925,0.38689,0.86033,0.88051,0.71281,0.7781,0.64372,0.50867,0.44812,0.86722,8.3335e-05,8.3335e-05,8.3335e-05
52,2337.24,0.47349,0.37847,0.8529,0.92103,0.69574,0.78872,0.64874,0.50134,0.43132,0.86131,8.30017e-05,8.30017e-05,8.30017e-05
53,2382.99,0.48489,0.38235,0.85784,0.89217,0.71474,0.78514,0.64533,0.5092,0.45335,0.86516,8.26684e-05,8.26684e-05,8.26684e-05
54,2428.29,0.46926,0.3722,0.85513,0.93587,0.68382,0.78896,0.65116,0.49483,0.45406,0.85444,8.23351e-05,8.23351e-05,8.23351e-05
55,2473.98,0.46891,0.37166,0.85396,0.90952,0.68025,0.7734,0.65152,0.49229,0.44636,0.85748,8.20018e-05,8.20018e-05,8.20018e-05
56,2519.62,0.47304,0.37862,0.85254,0.91779,0.68248,0.77773,0.64786,0.51493,0.44676,0.86853,8.16685e-05,8.16685e-05,8.16685e-05
57,2565.37,0.47697,0.37915,0.85901,0.93346,0.6894,0.78329,0.65373,0.50498,0.44651,0.86506,8.13352e-05,8.13352e-05,8.13352e-05
58,2611.1,0.46211,0.36356,0.85024,0.9229,0.67984,0.77971,0.64984,0.5055,0.46238,0.86385,8.10019e-05,8.10019e-05,8.10019e-05
59,2657.04,0.46943,0.37231,0.85296,0.91659,0.70216,0.78323,0.65081,0.50672,0.4404,0.86027,8.06686e-05,8.06686e-05,8.06686e-05
60,2711.01,0.45283,0.35728,0.8439,0.91209,0.69522,0.78898,0.65612,0.4986,0.44573,0.85452,8.03353e-05,8.03353e-05,8.03353e-05
61,2756.92,0.46991,0.37176,0.85373,0.91955,0.70106,0.78669,0.65236,0.50644,0.4463,0.86576,8.0002e-05,8.0002e-05,8.0002e-05
62,2802.2,0.46854,0.36996,0.8523,0.93233,0.67763,0.7776,0.64297,0.50642,0.45052,0.86133,7.96687e-05,7.96687e-05,7.96687e-05
63,2847.44,0.45394,0.36177,0.84968,0.90615,0.70114,0.79167,0.6514,0.50513,0.44412,0.86069,7.93354e-05,7.93354e-05,7.93354e-05
64,2892.33,0.44986,0.35933,0.84909,0.9001,0.70332,0.78685,0.64619,0.51147,0.45657,0.87026,7.90021e-05,7.90021e-05,7.90021e-05
65,2937.84,0.45397,0.35785,0.85157,0.89934,0.69862,0.78499,0.65576,0.50375,0.44417,0.86971,7.86688e-05,7.86688e-05,7.86688e-05
66,2984.06,0.45966,0.35923,0.84975,0.92171,0.69905,0.77909,0.65019,0.48796,0.45155,0.86482,7.83355e-05,7.83355e-05,7.83355e-05
67,3030.33,0.45784,0.35716,0.85266,0.90462,0.7116,0.79213,0.6526,0.50563,0.45108,0.8708,7.80022e-05,7.80022e-05,7.80022e-05
68,3082.79,0.44646,0.35102,0.85101,0.91925,0.6934,0.78668,0.64829,0.51547,0.46571,0.87201,7.76689e-05,7.76689e-05,7.76689e-05
69,3128.59,0.44412,0.34977,0.84446,0.89958,0.70205,0.78517,0.64502,0.51642,0.44032,0.86419,7.73356e-05,7.73356e-05,7.73356e-05
70,3174.56,0.45079,0.35676,0.84328,0.90464,0.69982,0.78245,0.6477,0.50341,0.45397,0.86201,7.70023e-05,7.70023e-05,7.70023e-05
71,3221.09,0.45563,0.35921,0.85173,0.93843,0.67632,0.77544,0.6436,0.50566,0.45809,0.86672,7.6669e-05,7.6669e-05,7.6669e-05
72,3266.66,0.437,0.34871,0.84487,0.9,0.6939,0.77983,0.64455,0.50614,0.47208,0.87016,7.63357e-05,7.63357e-05,7.63357e-05
73,3311.91,0.44269,0.35198,0.85161,0.90284,0.69037,0.78317,0.65066,0.50032,0.4561,0.86388,7.60024e-05,7.60024e-05,7.60024e-05
74,3357.18,0.44407,0.34944,0.84115,0.86674,0.71673,0.78238,0.64676,0.49974,0.43959,0.8626,7.56691e-05,7.56691e-05,7.56691e-05
75,3402.6,0.45157,0.3485,0.84575,0.90024,0.71596,0.78683,0.64697,0.4972,0.44935,0.85948,7.53358e-05,7.53358e-05,7.53358e-05
76,3450.72,0.44041,0.34058,0.84541,0.92935,0.69615,0.78798,0.65475,0.49758,0.42716,0.86047,7.50025e-05,7.50025e-05,7.50025e-05
77,3499.51,0.45472,0.35099,0.84795,0.9293,0.69204,0.78502,0.64611,0.50865,0.43542,0.87252,7.46692e-05,7.46692e-05,7.46692e-05
78,3548.33,0.45795,0.35008,0.84849,0.93079,0.68132,0.7864,0.65353,0.49288,0.43764,0.86367,7.43359e-05,7.43359e-05,7.43359e-05
79,3599.28,0.43238,0.33527,0.84551,0.92046,0.69871,0.79101,0.65904,0.49278,0.43629,0.86359,7.40026e-05,7.40026e-05,7.40026e-05
80,3650.31,0.44184,0.34398,0.84317,0.87522,0.71883,0.78851,0.65427,0.49439,0.43667,0.85722,7.36693e-05,7.36693e-05,7.36693e-05
81,3699.83,0.43989,0.33841,0.84249,0.93238,0.68634,0.78901,0.65531,0.49622,0.43388,0.86237,7.3336e-05,7.3336e-05,7.3336e-05
82,3749.45,0.43456,0.33603,0.84908,0.8883,0.70855,0.78489,0.65143,0.50342,0.44841,0.86728,7.30027e-05,7.30027e-05,7.30027e-05
83,3798.25,0.42949,0.33006,0.84105,0.88633,0.71032,0.78458,0.66024,0.50234,0.44381,0.87245,7.26694e-05,7.26694e-05,7.26694e-05
